Latitude,Longitude,Total_Crimes,LSOA_Name,Most_Common_Crime
52.574355,-0.24207,512.0,Peterborough 014G,Violence and sexual offences
52.203097,0.121806,476.0,Cambridge 007J,Shoplifting
52.227077,0.145491,379.0,Cambridge 001B,Shoplifting
52.222426,0.156256,336.0,Cambridge 003C,Shoplifting
52.572933,-0.241374,331.0,Peterborough 014A,Anti-social behaviour
52.586514,-0.259961,331.0,Peterborough 010D,Violence and sexual offences
52.588376,-0.275993,289.0,Peterborough 009E,Violence and sexual offences
52.649756,0.15861,289.0,Fenland 003B,Other theft
52.572841,-0.246056,284.0,Peterborough 014A,Violence and sexual offences
52.599914,-0.266946,282.0,Peterborough 010E,Shoplifting
52.575782,0.080885,254.0,Fenland 005A,Violence and sexual offences
52.572052,-0.243785,245.0,Peterborough 014A,Violence and sexual offences
52.191743,0.153937,232.0,Cambridge 010D,Shoplifting
52.574154,-0.294732,232.0,Peterborough 015A,Violence and sexual offences
52.204215,0.121172,228.0,Cambridge 007J,Shoplifting
52.204812,0.121976,221.0,Cambridge 007J,Violence and sexual offences
52.331394,-0.056461,210.0,Huntingdonshire 007A,Shoplifting
52.203523,0.124124,207.0,Cambridge 007J,Violence and sexual offences
52.205622,0.118912,197.0,Cambridge 007H,Violence and sexual offences
52.569315,-0.241091,192.0,Peterborough 014A,Violence and sexual offences
